timestamp,tipo,entrada,tp,sl,lucro_esperado,perda_max,rr
2025-05-02 01:34:59,COMPRA,96933.97,97020.07,96890.92,86.1,43.05,2.0
2025-05-02 15:25:36,COMPRA,97333.97,97463.57,97269.17,129.6,64.8,2.0
2025-05-02 15:26:09,COMPRA,97310.98,97433.85857142857,97249.54071428571,122.88,61.44,2.0
2025-05-02 15:26:42,COMPRA,97158.99,97308.8742857143,97084.04785714287,149.88,74.94,2.0
2025-05-02 15:41:12,VENDA,97423.98,97277.55285714284,97497.19357142856,146.43,73.21,2.0
2025-05-02 15:41:45,VENDA,97420.0,97270.71857142857,97494.64071428572,149.28,74.64,2.0
2025-05-02 15:42:50,VENDA,97447.43,97308.70142857141,97516.79428571428,138.73,69.36,2.0
2025-05-02 15:43:23,VENDA,97468.26,97338.46999999999,97533.155,129.79,64.9,2.0
2025-05-02 15:43:56,VENDA,97468.26,97333.9357142857,97535.42214285715,134.32,67.16,2.0
2025-05-02 15:44:30,VENDA,97444.74,97320.12714285715,97507.04642857144,124.61,62.31,2.0
2025-05-02 15:46:38,VENDA,97471.69,97359.09142857142,97527.98928571428,112.6,56.3,2.0
2025-05-02 14:37:33,VENDA,97415.09,97335.50714285714,97454.88142857143,79.58,39.79,2.0
2025-05-02 14:38:06,VENDA,97409.95,97335.42714285714,97447.21142857143,74.52,37.26,2.0
2025-05-02 14:38:39,VENDA,97392.54,97315.52999999998,97431.045,77.01,38.51,2.0
2025-05-02 14:39:12,VENDA,97395.6,97322.84857142858,97431.97571428573,72.75,36.38,2.0
2025-05-02 14:39:45,VENDA,97415.1,97338.86285714286,97453.21857142857,76.24,38.12,2.0
2025-05-02 14:40:18,VENDA,97380.95,97309.41285714284,97416.71857142857,71.54,35.77,2.0
2025-05-02 14:55:13,VENDA,97386.79,97315.08857142857,97422.6407142857,71.7,35.85,2.0
2025-05-02 14:55:46,VENDA,97373.02,97301.31714285714,97408.87142857144,71.7,35.85,2.0
2025-05-02 14:56:19,VENDA,97399.99,97333.8,97433.085,66.19,33.1,2.0
2025-05-02 14:56:52,VENDA,97386.8,97320.61,97419.895,66.19,33.1,2.0
2025-05-02 14:57:25,VENDA,97386.79,97322.87999999999,97418.745,63.91,31.96,2.0
2025-05-02 14:57:58,VENDA,97406.06,97339.39714285714,97439.39142857143,66.66,33.33,2.0
2025-05-02 15:26:32,COMPRA,97452.57,97515.68000000001,97421.01500000001,63.11,31.55,2.0
2025-05-02 15:27:05,COMPRA,97436.5,97497.34999999999,97406.075,60.85,30.43,2.0
2025-05-02 15:28:09,COMPRA,97443.4,97502.43285714285,97413.88357142857,59.03,29.52,2.0
2025-05-02 15:30:18,COMPRA,97432.74,97495.7042857143,97401.25785714286,62.96,31.48,2.0
2025-05-02 15:30:51,COMPRA,97453.98,97519.98,97420.98,66.0,33.0,2.0
2025-05-02 15:31:24,COMPRA,97432.0,97492.41571428571,97401.79214285714,60.42,30.21,2.0
2025-05-02 15:32:28,COMPRA,97432.01,97494.81285714285,97400.60857142857,62.8,31.4,2.0
2025-05-02 15:51:00,COMPRA,97289.15,97379.49142857142,97243.97928571427,90.34,45.17,2.0
2025-05-02 16:24:30,VENDA,97163.49,97105.77714285714,97192.34642857143,57.71,28.86,2.0
2025-05-02 16:25:03,VENDA,97166.25,97110.02,97194.365,56.23,28.12,2.0
2025-05-02 16:27:12,VENDA,97173.28,97118.13142857142,97200.85428571429,55.15,27.57,2.0
2025-05-02 16:27:45,VENDA,97163.19,97106.59857142856,97191.48571428572,56.59,28.3,2.0
2025-05-02 16:29:21,VENDA,97149.53,97098.49428571427,97175.04785714285,51.04,25.52,2.0
2025-05-02 16:29:54,VENDA,97164.87,97111.82142857142,97191.39428571428,53.05,26.52,2.0
2025-05-02 17:08:01,VENDA,97039.04,96934.41142857142,97091.35428571427,104.63,52.31,2.0
2025-05-02 17:13:20,VENDA,97059.99,96993.51285714286,97093.22857142857,66.48,33.24,2.0
2025-05-02 17:15:28,VENDA,97000.06,96935.23714285714,97032.47142857143,64.82,32.41,2.0
